id,key,value,type
10942614,created_by,JOSM,regular
10942616,created_by,JOSM,regular
10942617,created_by,JOSM,regular
10942618,created_by,JOSM,regular
10942628,created_by,JOSM,regular
10942637,created_by,JOSM,regular
10942638,created_by,JOSM,regular
10942639,created_by,JOSM,regular
10942640,created_by,JOSM,regular
10942642,created_by,JOSM,regular
10942648,created_by,JOSM,regular
10942661,created_by,JOSM,regular
10942669,created_by,JOSM,regular
10942674,created_by,JOSM,regular
10942678,created_by,JOSM,regular
10942679,created_by,JOSM,regular
10942680,created_by,JOSM,regular
10942683,created_by,JOSM,regular
10942691,created_by,JOSM,regular
10942692,created_by,JOSM,regular
10942693,created_by,JOSM,regular
10942694,created_by,JOSM,regular
10942695,created_by,JOSM,regular
10942696,created_by,JOSM,regular
10942703,created_by,JOSM,regular
10942705,created_by,JOSM,regular
10942708,created_by,JOSM,regular
10942709,created_by,JOSM,regular
10942713,created_by,JOSM,regular
10942718,created_by,JOSM,regular
10942719,created_by,JOSM,regular
10942720,created_by,JOSM,regular
10942723,created_by,JOSM,regular
10942726,created_by,JOSM,regular
10942729,created_by,JOSM,regular
10942867,created_by,JOSM,regular
10942868,created_by,JOSM,regular
11014064,created_by,JOSM,regular
11014069,created_by,JOSM,regular
11014070,created_by,JOSM,regular
11014072,created_by,JOSM,regular
11146414,created_by,JOSM,regular
11146423,created_by,JOSM,regular
11419664,barrier,bollard,regular
12591287,odbl,clean,regular
12591319,odbl,clean,regular
12594990,highway,turning_circle,regular
12595008,created_by,osmeditor2,regular
12595011,source,Bing,regular
12595011,highway,turning_circle,regular
12595105,highway,turning_circle,regular
12801362,created_by,JOSM,regular
12801363,created_by,JOSM,regular
12887144,created_by,JOSM,regular
12887145,created_by,JOSM,regular
12887146,created_by,JOSM,regular
12887147,created_by,JOSM,regular
12887148,created_by,JOSM,regular
12887149,created_by,JOSM,regular
12887150,created_by,JOSM,regular
12887151,created_by,JOSM,regular
12887152,created_by,JOSM,regular
12887153,created_by,JOSM,regular
12887154,created_by,JOSM,regular
12887155,created_by,JOSM,regular
12887157,created_by,JOSM,regular
12887158,created_by,JOSM,regular
12887159,created_by,JOSM,regular
12887160,created_by,JOSM,regular
12887161,created_by,JOSM,regular
12889404,odbl,clean,regular
12889406,odbl,clean,regular
12889412,odbl,clean,regular
13059701,created_by,JOSM,regular
13061909,created_by,JOSM,regular
13061917,created_by,JOSM,regular
13061943,created_by,JOSM,regular
13061948,created_by,JOSM,regular
13061952,created_by,JOSM,regular
13061953,created_by,JOSM,regular
13061955,created_by,JOSM,regular
13061956,created_by,JOSM,regular
13061957,created_by,JOSM,regular
13061958,created_by,JOSM,regular
13061959,created_by,JOSM,regular
13061960,created_by,JOSM,regular
13061961,created_by,JOSM,regular
13061962,created_by,JOSM,regular
13061963,created_by,JOSM,regular
13061964,created_by,JOSM,regular
13061965,created_by,JOSM,regular
13061966,created_by,JOSM,regular
13061967,created_by,JOSM,regular
13061968,created_by,JOSM,regular
13061969,created_by,JOSM,regular
13061970,created_by,JOSM,regular
13061971,created_by,JOSM,regular
13061974,created_by,JOSM,regular
13061975,created_by,JOSM,regular
13061976,created_by,JOSM,regular
13061977,created_by,JOSM,regular
13061978,created_by,JOSM,regular
13061979,created_by,JOSM,regular
13061980,created_by,JOSM,regular
13061982,created_by,JOSM,regular
13061983,created_by,JOSM,regular
13061984,created_by,JOSM,regular
13061985,created_by,JOSM,regular
13061986,created_by,JOSM,regular
13061987,created_by,JOSM,regular
13061988,created_by,JOSM,regular
13061992,created_by,JOSM,regular
13061993,created_by,JOSM,regular
13061994,created_by,JOSM,regular
13061995,created_by,JOSM,regular
13061996,created_by,JOSM,regular
13061997,created_by,JOSM,regular
13061998,created_by,JOSM,regular
13061999,created_by,JOSM,regular
13062000,created_by,JOSM,regular
13062001,created_by,JOSM,regular
13062002,created_by,JOSM,regular
13062003,created_by,JOSM,regular
13062004,created_by,JOSM,regular
13062005,created_by,JOSM,regular
13062006,created_by,JOSM,regular
13062007,created_by,JOSM,regular
13062008,created_by,JOSM,regular
13062009,created_by,JOSM,regular
13062010,created_by,JOSM,regular
13062011,created_by,JOSM,regular
13062012,created_by,JOSM,regular
13062013,created_by,JOSM,regular
13062014,created_by,JOSM,regular
13062022,created_by,JOSM,regular
13062023,created_by,JOSM,regular
13062024,created_by,JOSM,regular
13062025,created_by,JOSM,regular
13062031,created_by,JOSM,regular
13062032,created_by,JOSM,regular
13064731,created_by,JOSM,regular
13064732,created_by,JOSM,regular
13064737,created_by,JOSM,regular
13064739,created_by,JOSM,regular
13064740,created_by,JOSM,regular
13064745,created_by,JOSM,regular
13071209,created_by,JOSM,regular
13071210,created_by,JOSM,regular
13071211,created_by,JOSM,regular
13071212,created_by,JOSM,regular
13071213,created_by,JOSM,regular
13071215,created_by,JOSM,regular
13071216,created_by,JOSM,regular
13071217,created_by,JOSM,regular
13071234,odbl,clean,regular
13071243,created_by,JOSM,regular
13071244,created_by,JOSM,regular
13071245,created_by,JOSM,regular
13071254,created_by,JOSM,regular
13071259,created_by,JOSM,regular
13071261,created_by,JOSM,regular
13071263,created_by,JOSM,regular
13071265,created_by,JOSM,regular
13071276,created_by,JOSM,regular
13071279,created_by,JOSM,regular
13071289,created_by,JOSM,regular
13071302,created_by,JOSM,regular
13071315,created_by,JOSM,regular
13071316,created_by,JOSM,regular
13071317,created_by,JOSM,regular
13071320,created_by,JOSM,regular
13071321,created_by,JOSM,regular
13071322,created_by,JOSM,regular
13071323,created_by,JOSM,regular
13071324,created_by,JOSM,regular
13071325,created_by,JOSM,regular
13071326,created_by,JOSM,regular
13071327,odbl,clean,regular
13071328,created_by,JOSM,regular
13071329,created_by,JOSM,regular
13071330,created_by,JOSM,regular
13071331,created_by,JOSM,regular
13071332,created_by,JOSM,regular
13071333,created_by,JOSM,regular
13071340,odbl,clean,regular
13071341,odbl,clean,regular
13071342,created_by,JOSM,regular
13071343,created_by,JOSM,regular
13071344,created_by,JOSM,regular
13071345,odbl,clean,regular
13071346,odbl,clean,regular
13071347,odbl,clean,regular
13071348,odbl,clean,regular
13071349,odbl,clean,regular
13071350,created_by,JOSM,regular
13071351,created_by,JOSM,regular
13071352,created_by,JOSM,regular
13071353,created_by,JOSM,regular
13071354,created_by,JOSM,regular
13071355,created_by,JOSM,regular
13071356,created_by,JOSM,regular
13071357,created_by,JOSM,regular
13071361,created_by,JOSM,regular
13071362,created_by,JOSM,regular
13071363,created_by,JOSM,regular
13071364,created_by,JOSM,regular
13071365,created_by,JOSM,regular
13071366,created_by,JOSM,regular
13071367,created_by,JOSM,regular
13071368,created_by,JOSM,regular
13071369,odbl,clean,regular
13071371,created_by,JOSM,regular
13071372,created_by,JOSM,regular
13071375,created_by,JOSM,regular
13071392,odbl,clean,regular
13071400,created_by,JOSM,regular
13071401,created_by,JOSM,regular
13071402,created_by,JOSM,regular
13071404,created_by,JOSM,regular
13071405,created_by,JOSM,regular
13071406,created_by,JOSM,regular
13071407,created_by,JOSM,regular
13071408,created_by,JOSM,regular
13071409,created_by,JOSM,regular
13071410,created_by,JOSM,regular
13071411,created_by,JOSM,regular
13071412,created_by,JOSM,regular
13071413,created_by,JOSM,regular
13071414,created_by,JOSM,regular
13071415,created_by,JOSM,regular
13071416,created_by,JOSM,regular
13071417,created_by,JOSM,regular
13071418,created_by,JOSM,regular
13071419,created_by,JOSM,regular
13071420,created_by,JOSM,regular
13071421,created_by,JOSM,regular
13071422,created_by,JOSM,regular
13071423,created_by,JOSM,regular
13071424,created_by,JOSM,regular
13071425,created_by,JOSM,regular
13071426,created_by,JOSM,regular
13071427,created_by,JOSM,regular
13071428,created_by,JOSM,regular
13071429,created_by,JOSM,regular
13071441,created_by,JOSM,regular
13071443,created_by,JOSM,regular
13071444,created_by,JOSM,regular
13071446,created_by,JOSM,regular
13071448,created_by,JOSM,regular
13071449,created_by,JOSM,regular
13071451,public_transport,stop_position,regular
13564715,created_by,osmeditor2,regular
13564724,created_by,osmeditor2,regular
13564728,created_by,osmeditor2,regular
13564729,created_by,osmeditor2,regular
13564752,created_by,osmeditor2,regular
13564754,created_by,osmeditor2,regular
13564827,barrier,gate,regular
13564829,created_by,osmeditor2,regular
13564830,created_by,osmeditor2,regular
13564833,created_by,osmeditor2,regular
13564834,created_by,osmeditor2,regular
13564835,created_by,osmeditor2,regular
13564836,created_by,osmeditor2,regular
13565094,created_by,osmeditor2,regular
13565105,name,Two Brothers,regular
13565105,amenity,pub,regular
13565105,created_by,osmeditor2,regular
13704719,source,PGS,regular
13704895,source,PGS,regular
13704896,source,PGS,regular
13704903,source,PGS,regular
13704904,source,PGS,regular
13704906,source,PGS,regular
13704907,source,PGS,regular
13704910,source,PGS,regular
13704918,source,PGS,regular
13704963,source,PGS,regular
13704969,source,PGS,regular
13704970,source,PGS,regular
13705005,source,PGS,regular
13705008,source,PGS,regular
13705008,created_by,almien_coastlines,regular
13705010,source,PGS,regular
13705015,source,PGS,regular
13705092,source,PGS,regular
13705098,source,PGS,regular
13705099,source,PGS,regular
13705114,source,PGS,regular
13705115,source,PGS,regular
13705116,source,PGS,regular
13705120,source,PGS,regular
13705124,source,PGS,regular
13705129,source,PGS,regular
13705134,source,PGS,regular
13705136,source,PGS,regular
13705137,source,PGS,regular
13705138,source,PGS,regular
13705147,source,PGS,regular
13705150,source,PGS,regular
13705169,source,PGS,regular
13705173,source,PGS,regular
13705176,source,PGS,regular
13705176,created_by,almien_coastlines,regular
13705177,source,PGS,regular
13705177,created_by,almien_coastlines,regular
13705178,source,PGS,regular
13705182,source,PGS,regular
13705187,source,PGS,regular
13705191,source,PGS,regular
13705195,source,PGS,regular
13705200,source,PGS,regular
13705203,source,PGS,regular
13705204,source,PGS,regular
13705205,source,PGS,regular
13705209,source,PGS,regular
13705209,created_by,almien_coastlines,regular
13705215,source,PGS,regular
13705217,source,PGS,regular
13705218,source,PGS,regular
13705219,source,PGS,regular
13705242,source,PGS,regular
13705243,source,PGS,regular
13705245,source,PGS,regular
13705250,source,PGS,regular
13705252,source,PGS,regular
13705256,source,PGS,regular
13705270,source,PGS,regular
13705273,source,PGS,regular
13705277,source,PGS,regular
13705281,source,PGS,regular
13705286,source,PGS,regular
13705312,source,PGS,regular
13705355,source,PGS,regular
13705484,source,PGS,regular
13705628,source,PGS,regular
13705633,source,PGS,regular
13705643,source,PGS,regular
13705644,source,PGS,regular
13705655,source,PGS,regular
13705663,source,PGS,regular
13705693,source,PGS,regular
13705716,source,PGS,regular
13706068,source,PGS,regular
13706085,source,PGS,regular
13706090,source,PGS,regular
13706093,source,PGS,regular
13706098,source,PGS,regular
13706105,source,PGS,regular
13706121,source,PGS,regular
13706134,source,PGS,regular
13706142,source,PGS,regular
13706175,source,PGS,regular
13706227,source,PGS,regular
13706228,source,PGS,regular
13706229,source,PGS,regular
13706247,source,PGS,regular
13706249,source,PGS,regular
13706252,source,PGS,regular
13706256,source,PGS,regular
13706265,source,PGS,regular
13706270,source,PGS,regular
13706274,source,PGS,regular
13706279,source,PGS,regular
13706286,source,PGS,regular
13706296,source,PGS,regular
13706309,source,PGS,regular
13706327,source,PGS,regular
13706331,source,PGS,regular
13706332,source,PGS,regular
13706333,source,PGS,regular
13706334,source,PGS,regular
13706339,source,PGS,regular
13706357,source,PGS,regular
13706367,source,PGS,regular
13706370,source,PGS,regular
13706389,source,PGS,regular
13706400,source,PGS,regular
13706414,source,PGS,regular
13706423,source,PGS,regular
13706428,source,PGS,regular
13706434,source,PGS,regular
13706435,source,PGS,regular
13706452,source,PGS,regular
13706454,source,PGS,regular
13706461,source,PGS,regular
13706472,source,PGS,regular
13706473,source,PGS,regular
13706476,source,PGS,regular
13706518,source,PGS,regular
13706524,source,PGS,regular
13706531,source,PGS,regular
13706543,source,PGS,regular
13706587,source,PGS,regular
13706593,source,PGS,regular
13706596,source,PGS,regular
13706614,source,PGS,regular
13706617,source,PGS,regular
13706626,source,PGS,regular
13706627,source,PGS,regular
13706640,source,PGS,regular
13706641,source,PGS,regular
13706655,source,PGS,regular
13706656,source,PGS,regular
13706658,source,PGS,regular
13706659,source,PGS,regular
13706662,source,PGS,regular
13706663,source,PGS,regular
13706665,source,PGS,regular
13706676,source,PGS,regular
13706712,source,PGS,regular
13706736,source,PGS,regular
13706815,source,PGS,regular
13706856,source,PGS,regular
13706893,source,PGS,regular
13885525,odbl,clean,regular
13885525,highway,mini_roundabout,regular
13885525,direction,clockwise,regular
14567154,highway,traffic_signals,regular
14726178,odbl,clean,regular
14726180,odbl,clean,regular
14726184,highway,traffic_signals,regular
14726187,highway,traffic_signals,regular
14726558,highway,traffic_signals,regular
14726569,created_by,JOSM,regular
14727948,odbl,clean,regular
14727970,odbl,clean,regular
14727971,odbl,clean,regular
14727976,odbl,clean,regular
14727989,highway,traffic_signals,regular
14727994,odbl,clean,regular
14727999,bus,yes,regular
14727999,public_transport,stop_position,regular
14728000,odbl,clean,regular
14743140,highway,traffic_signals,regular
14743141,public_transport,stop_position,regular
14743147,bicycle,yes,regular
14743147,highway,crossing,regular
14743147,crossing,traffic_signals,regular
14743147,crossing_ref,toucan,regular
14743150,highway,traffic_signals,regular
14743160,highway,crossing,regular
14743160,crossing,island;uncontrolled,regular
14743160,sloped_curb,yes,regular
14743160,tactile_paving,yes,regular
14744287,highway,traffic_signals,regular
14744293,created_by,JOSM,regular
14744296,created_by,JOSM,regular
14957853,created_by,osmeditor2,regular
14962421,created_by,JOSM,regular
14962425,created_by,JOSM,regular
14962426,created_by,JOSM,regular
14962427,created_by,JOSM,regular
14962428,created_by,JOSM,regular
14962429,created_by,JOSM,regular
14962430,created_by,JOSM,regular
14962432,created_by,JOSM,regular
14962433,created_by,JOSM,regular
14962434,created_by,JOSM,regular
14962435,created_by,JOSM,regular
14962436,created_by,JOSM,regular
14962437,created_by,JOSM,regular
14962438,created_by,JOSM,regular
14962439,created_by,JOSM,regular
14962440,created_by,JOSM,regular
14962441,created_by,JOSM,regular
14962443,created_by,JOSM,regular
14962444,created_by,JOSM,regular
14962445,created_by,JOSM,regular
14962446,created_by,JOSM,regular
14962447,created_by,JOSM,regular
14962448,created_by,JOSM,regular
14962449,created_by,JOSM,regular
14962451,created_by,JOSM,regular
14962452,created_by,JOSM,regular
14962453,created_by,JOSM,regular
14962454,created_by,JOSM,regular
14962455,created_by,JOSM,regular
14962457,created_by,JOSM,regular
14962458,created_by,JOSM,regular
14962459,created_by,JOSM,regular
14962460,created_by,JOSM,regular
14962461,created_by,JOSM,regular
14962462,created_by,JOSM,regular
14962464,created_by,JOSM,regular
14962465,created_by,JOSM,regular
14962466,created_by,JOSM,regular
14962467,created_by,JOSM,regular
14962468,created_by,JOSM,regular
14962469,created_by,JOSM,regular
14962470,created_by,JOSM,regular
14962471,created_by,JOSM,regular
14962472,created_by,JOSM,regular
14962473,created_by,JOSM,regular
14962474,created_by,JOSM,regular
14962475,created_by,JOSM,regular
14962476,created_by,JOSM,regular
14962477,created_by,JOSM,regular
14962478,created_by,JOSM,regular
14962488,created_by,JOSM,regular
14962489,created_by,JOSM,regular
14962490,created_by,JOSM,regular
14962498,created_by,JOSM,regular
14962504,created_by,JOSM,regular
14962515,created_by,JOSM,regular
14962516,created_by,JOSM,regular
14962517,created_by,JOSM,regular
14962518,created_by,JOSM,regular
14962519,created_by,JOSM,regular
14962520,created_by,JOSM,regular
14962521,created_by,JOSM,regular
14962522,created_by,JOSM,regular
14962523,created_by,JOSM,regular
14964141,created_by,JOSM,regular
14964142,created_by,JOSM,regular
14964154,created_by,JOSM,regular
14964155,created_by,JOSM,regular
15028848,created_by,JOSM,regular
15028853,created_by,JOSM,regular
15028864,created_by,JOSM,regular
15028866,created_by,JOSM,regular
15028867,created_by,JOSM,regular
15028868,created_by,JOSM,regular
15028869,created_by,JOSM,regular
